1574735271.7545273,"(711, 374)","(1206, 223)",None,"(0, 0, 0)"
1574735277.9524314,"(1176, 309)","(774, 254)","(710, 260)","(4732, 391, 885)"
1574735283.947076,"(1032, 466)","(950, 362)","(873, 289)","(2626, 453, 1532)"
1574735290.117523,"(1254, 320)","(732, 274)","(605, 318)","(5626, 645, 1196)"
1574735296.1513038,"(1278, 295)","(621, 279)","(516, 390)","(6811, 233, 1375)"
1574735302.3479567,"(1066, 395)","(1039, 252)","(847, 176)","(2193, 1074, 647)"
1574735308.352147,"(920, 454)","(990, 353)",None,"(1847, 25, 1245)"
1574735314.5455322,None,"(1122, 364)",None,"(1340, 1114, 1443)"
1574735320.5538025,"(1311, 322)","(666, 288)","(494, 395)","(6657, 661, 1515)"
1574735326.7499766,"(1066, 366)","(869, 291)","(837, 246)","(3382, 238, 998)"
1574735332.757939,"(796, 582)","(1142, 438)","(1032, 266)","(455, 101, 1695)"
1574735338.7495685,"(962, 426)","(1036, 298)","(923, 205)","(1772, 491, 891)"
1574735344.9470036,"(1327, 198)","(736, 147)",None,"(5937, 1059, 107)"
1574735351.1499648,"(1214, 356)","(904, 252)","(704, 228)","(3876, 1240, 856)"
1574735357.3473885,"(1273, 313)","(825, 231)","(623, 238)","(4866, 1193, 800)"
1574735363.5434353,"(1207, 335)","(754, 276)","(665, 301)","(5091, 476, 1160)"
1574735369.554333,"(1056, 479)","(1036, 332)","(853, 246)","(2171, 1033, 1318)"
1574735375.5499458,None,"(618, 166)","(543, 227)","(6521, 113, 253)"
1574735381.7451,"(1112, 329)","(906, 237)","(797, 192)","(3346, 689, 605)"
1574735387.7452188,"(739, 476)","(1182, 323)","(1058, 173)","(130, 18, 761)"
1574735393.9499357,"(1305, 235)","(764, 174)","(556, 197)","(5574, 1084, 329)"
1574735399.945338,"(1301, 299)","(757, 238)","(560, 281)","(5666, 1038, 939)"
1574735405.9480488,"(1276, 250)","(688, 211)","(556, 270)","(6094, 564, 686)"
1574735412.1473465,"(1087, 393)","(936, 286)","(822, 232)","(3004, 696, 1004)"
1574735418.15302,"(941, 465)","(965, 372)","(946, 275)","(2089, 11, 1443)"
1574735424.358142,"(1335, 265)","(712, 216)","(490, 274)","(6285, 1020, 797)"
1574735430.3541086,"(1353, 355)","(720, 295)","(473, 388)","(6438, 1197, 1650)"
1574735436.3778644,"(1090, 328)","(880, 246)","(816, 205)","(3406, 431, 667)"
1574735442.552864,"(1174, 356)","(709, 317)","(700, 361)","(5250, 54, 1501)"
1574735448.552063,"(1158, 297)","(726, 258)","(720, 280)","(4968, 52, 915)"
1574735454.75146,"(988, 484)","(1051, 347)",None,"(1764, 719, 1317)"
1574735460.9481347,"(936, 360)","(1073, 224)",None,"(1466, 535, 293)"
1574735467.1538873,"(1245, 291)","(762, 228)","(629, 248)","(5232, 739, 759)"
1574735473.1550493,"(787, 369)","(1139, 231)","(1031, 115)","(566, 72, 183)"
1574735479.151843,"(1317, 258)","(637, 237)","(464, 328)","(6912, 554, 978)"
1574735485.1465394,"(1055, 458)","(899, 371)","(850, 315)","(3097, 327, 1693)"
1574735491.392404,"(1025, 414)","(1011, 287)","(876, 207)","(2209, 725, 890)"
1574735497.5545967,"(860, 389)","(1088, 258)",None,"(1076, 201, 452)"
1574735503.7205095,"(1255, 295)","(749, 240)","(611, 270)","(5428, 722, 890)"
1574735509.7550259,"(1296, 332)","(772, 266)",None,"(5516, 1090, 1181)"
1574735515.9505293,"(1202, 442)","(890, 333)","(716, 324)","(3978, 1127, 1641)"
1574735521.9542897,"(1324, 261)","(684, 221)","(487, 291)","(6495, 818, 849)"
1574735528.115751,"(1280, 233)","(823, 158)","(621, 160)","(4856, 1208, 130)"
1574735534.153593,"(924, 421)","(1033, 301)","(952, 202)","(1623, 269, 857)"
1574735540.3194947,"(1147, 315)","(913, 215)","(768, 176)","(3458, 904, 471)"
1574735546.369176,"(976, 399)","(1028, 274)",None,"(1887, 528, 714)"
1574735552.5549164,"(998, 434)","(1128, 264)",None,"(1360, 1131, 628)"
1574735558.7452958,"(808, 559)","(1111, 429)",None,"(673, 0, 1624)"
1574735564.7633858,"(1199, 374)","(728, 330)","(672, 381)","(5290, 307, 1676)"
1574735570.962018,"(1177, 280)","(764, 222)","(703, 228)","(4766, 351, 610)"
1574735577.1474402,"(1141, 280)","(838, 207)","(758, 183)","(3987, 524, 421)"
1574735583.3496048,"(1019, 380)","(1128, 209)","(880, 125)","(1454, 1243, 254)"
1574735589.5502808,"(902, 499)","(1261, 272)","(949, 146)","(247, 1286, 599)"
1574735595.5473077,"(967, 369)","(1015, 251)","(920, 165)","(1926, 422, 534)"
1574735601.545563,"(972, 492)","(1070, 346)",None,"(1583, 721, 1287)"
1574735607.5481818,"(1248, 421)","(870, 317)","(665, 320)","(4389, 1300, 1557)"
1574735613.752803,"(1326, 197)","(628, 174)","(444, 245)","(6979, 558, 399)"
1574735619.9482427,"(1027, 354)","(925, 258)","(872, 201)","(2781, 315, 680)"
1574735625.944428,"(1055, 482)","(1060, 325)","(858, 235)","(1990, 1120, 1242)"
1574735632.1479683,"(1296, 334)","(754, 272)","(565, 328)","(5697, 1005, 1273)"
1574735638.3529613,"(818, 515)","(1131, 370)","(1019, 224)","(631, 170, 1212)"
1574735644.550024,"(910, 531)","(1109, 374)",None,"(1101, 573, 1411)"
1574735650.548182,"(853, 511)","(1061, 393)","(1003, 258)","(1135, 5, 1448)"
1574735656.7491748,"(1229, 300)","(634, 284)","(596, 377)","(6301, 2, 1329)"
1574735662.9543126,"(1274, 290)","(640, 269)","(532, 363)","(6588, 289, 1255)"
1574735668.950024,"(940, 438)","(1124, 280)","(933, 169)","(1161, 815, 673)"
1574735675.1511562,"(1054, 475)","(1005, 341)","(855, 262)","(2374, 857, 1399)"
1574735681.1488461,"(1345, 330)","(725, 277)","(485, 353)","(6313, 1163, 1383)"
1574735687.350235,"(1086, 434)","(869, 353)","(820, 316)","(3483, 353, 1604)"
1574735693.3513346,"(1101, 463)","(1021, 315)","(819, 241)","(2464, 1198, 1239)"
1574735699.3579676,"(1141, 310)","(869, 227)","(767, 196)","(3757, 664, 571)"
1574735705.5449781,"(921, 495)","(1046, 368)","(956, 255)","(1510, 313, 1377)"
1574735711.5486174,"(1205, 334)","(870, 242)","(702, 225)","(4119, 1021, 797)"
1574735717.756593,"(1156, 457)","(910, 347)","(762, 312)","(3548, 970, 1661)"
1574735723.9489691,"(1243, 210)","(619, 189)","(568, 248)","(6416, 18, 443)"
1574735730.1173499,"(1191, 417)","(845, 334)","(717, 331)","(4263, 843, 1599)"
1574735736.1520922,"(1258, 402)","(821, 320)","(636, 343)","(4897, 1128, 1607)"
1574735742.1546195,"(1056, 387)","(960, 277)","(852, 212)","(2694, 640, 872)"
1574735748.3477888,"(1045, 473)","(1090, 305)","(863, 210)","(1758, 1218, 1057)"
1574735754.3556461,"(1272, 318)","(671, 286)","(554, 373)","(6308, 438, 1423)"
1574735760.373111,"(1087, 284)","(843, 214)","(813, 180)","(3646, 243, 405)"
1574735766.4049487,"(1153, 342)","(892, 247)","(761, 215)","(3650, 840, 761)"
1574735772.5521393,"(1253, 342)","(689, 304)","(587, 387)","(6005, 424, 1561)"
1574735778.7534525,"(1289, 245)","(639, 217)","(507, 293)","(6647, 384, 770)"
1574735784.9535005,"(1092, 504)","(1047, 339)","(831, 257)","(2223, 1271, 1439)"
1574735790.956185,"(1325, 205)","(643, 178)","(454, 246)","(6863, 611, 439)"
1574735796.947557,"(956, 460)","(1064, 320)","(927, 216)","(1567, 599, 1046)"
1574735803.1183949,"(960, 350)","(1090, 205)","(920, 117)","(1468, 752, 175)"
1574735809.3276536,"(883, 573)","(1142, 403)","(972, 258)","(794, 597, 1587)"
1574735815.355502,"(969, 481)","(1115, 310)","(915, 201)","(1310, 931, 998)"
1574735821.3714204,"(1007, 264)","(916, 180)","(890, 128)","(2740, 158, 36)"
1574735827.554395,"(1058, 455)","(911, 364)","(848, 306)","(3039, 399, 1617)"
1574735833.772175,"(1269, 310)","(610, 295)","(519, 420)","(6890, 121, 1556)"
1574735839.7571359,"(1132, 322)","(824, 254)","(768, 235)","(4049, 396, 808)"
1574735845.9492872,"(1347, 333)","(725, 273)","(482, 356)","(6343, 1181, 1406)"
1574735851.9568763,"(1114, 445)","(900, 350)","(796, 307)","(3413, 674, 1591)"
1574735858.1639266,"(1205, 324)","(922, 215)","(720, 186)","(3668, 1274, 535)"
1574735864.1477175,"(1102, 407)","(912, 307)","(808, 260)","(3262, 677, 1202)"
1574735870.3502955,"(1098, 385)","(838, 317)","(804, 290)","(3788, 259, 1300)"
1574735876.3650737,"(1243, 217)","(712, 169)","(608, 191)","(5587, 463, 242)"
1574735882.5522456,"(856, 568)","(1273, 334)","(976, 184)","(11, 1116, 1022)"
1574735888.7503479,"(765, 396)","(1232, 221)","(1031, 98)","(50, 410, 107)"
1574735894.7587898,"(1297, 290)","(667, 258)","(513, 342)","(6504, 580, 1178)"
1574735900.756754,"(1173, 345)","(765, 290)",None,"(4787, 326, 1235)"
1574735906.9576056,"(1349, 234)","(673, 197)","(443, 268)","(6760, 909, 650)"
1574735913.1237998,"(1162, 286)","(722, 243)","(719, 265)","(5003, 43, 786)"
1574735919.1506395,"(1202, 301)","(786, 238)","(686, 244)","(4763, 603, 790)"
1574735925.1569767,"(1097, 290)","(927, 193)","(812, 145)","(3107, 697, 234)"
1574735931.3839884,"(983, 426)","(942, 335)","(913, 259)","(2439, 133, 1218)"
1574735937.5491364,"(1108, 317)","(1027, 182)","(812, 119)","(2457, 1230, 132)"
1574735943.5534146,"(883, 409)","(1075, 280)","(977, 168)","(1230, 271, 630)"
1574735949.7549105,"(1110, 254)","(892, 168)","(798, 128)","(3403, 598, 50)"
1574735955.7483351,"(1250, 215)","(624, 202)","(559, 264)","(6444, 84, 530)"
1574735961.7499278,"(1039, 416)","(1050, 269)","(868, 186)","(2010, 988, 765)"
1574735967.9469266,"(1000, 328)","(916, 245)","(897, 184)","(2700, 112, 523)"
1574735973.9494593,"(1268, 364)","(843, 271)","(636, 279)","(4713, 1266, 1177)"
1574735980.1505897,"(1294, 338)","(710, 290)","(543, 366)","(6119, 779, 1483)"
1574735986.169355,"(1316, 246)","(691, 206)","(503, 264)","(6343, 804, 684)"
1574735992.34887,"(1204, 335)","(678, 307)","(649, 375)","(5748, 70, 1487)"
1574735998.5706365,"(1291, 273)","(674, 238)","(529, 316)","(6361, 571, 971)"
1574736004.5489533,"(1171, 243)","(786, 185)","(719, 182)","(4541, 425, 278)"
1574736010.7190332,"(927, 589)","(1218, 365)","(939, 223)","(512, 1221, 1352)"
1574736016.7455914,"(1330, 243)","(764, 181)","(532, 214)","(5725, 1222, 424)"
1574736022.9195435,"(868, 407)","(1252, 205)","(964, 97)","(262, 1073, 90)"
1574736028.9464545,"(1319, 241)","(641, 214)","(465, 297)","(6860, 574, 780)"
1574736034.9463177,"(943, 441)","(984, 339)","(944, 247)","(1985, 117, 1188)"
1574736040.9489808,"(1246, 212)","(681, 178)","(594, 214)","(5888, 341, 336)"
1574736046.9613333,"(1251, 312)","(781, 246)","(628, 266)","(5135, 858, 935)"
1574736053.1497273,None,"(661, 169)","(631, 201)","(5799, 40, 209)"
1574736059.1508965,"(1218, 430)","(860, 332)",None,"(4309, 1077, 1681)"
1574736065.3532026,"(1081, 367)","(1059, 216)","(837, 143)","(2129, 1236, 380)"
1574736071.5510108,"(985, 542)","(1118, 362)",None,"(1344, 1062, 1440)"
1574736077.545759,"(914, 500)","(1087, 354)","(957, 234)","(1248, 485, 1256)"
1574736083.7481885,"(1217, 209)","(654, 180)","(616, 218)","(5902, 42, 315)"
1574736089.9451191,"(966, 448)","(1022, 324)","(923, 229)","(1868, 441, 1107)"
1574736096.1739347,"(1149, 318)","(995, 189)","(778, 135)","(2860, 1300, 240)"
1574736102.3514998,"(1221, 341)","(658, 315)","(616, 401)","(6064, 78, 1619)"
1574736108.5481982,"(978, 403)","(1054, 265)",None,"(1728, 678, 656)"
1574736114.5528073,"(1226, 252)","(741, 199)","(641, 216)","(5265, 528, 478)"
1574736120.551014,"(1210, 358)","(701, 321)","(647, 388)","(5620, 230, 1635)"
1574736126.751693,"(1245, 298)","(709, 256)","(607, 311)","(5717, 476, 1050)"
1574736132.7665226,"(1247, 299)","(706, 258)",None,"(5770, 469, 1077)"
1574736138.9559782,"(1228, 356)","(842, 274)","(671, 271)","(4484, 1034, 1095)"
1574736145.1195,"(1270, 255)","(856, 169)","(639, 157)","(4538, 1300, 215)"
1574736151.1457884,"(1129, 282)","(774, 229)","(763, 220)","(4392, 135, 603)"
1574736157.1516914,"(779, 529)","(1176, 372)","(1036, 214)","(259, 187, 1168)"
1574736163.3521986,"(1206, 261)","(665, 235)","(642, 283)","(5787, 26, 804)"
1574736169.3531773,"(778, 465)","(1198, 298)","(1031, 155)","(198, 313, 645)"
1574736175.3515592,"(1114, 482)","(976, 347)","(807, 286)","(2847, 1051, 1573)"
1574736181.390386,"(1271, 285)","(687, 248)","(565, 316)","(6095, 515, 1022)"
1574736187.552691,"(1223, 220)","(816, 152)","(675, 138)","(4590, 846, 25)"
1574736193.7892454,"(1332, 285)","(770, 217)","(528, 261)","(5745, 1273, 787)"
1574736199.949108,"(984, 526)","(1052, 385)","(909, 277)","(1741, 713, 1634)"
1574736205.9571152,"(946, 421)","(1160, 242)","(927, 143)","(993, 1018, 437)"
1574736212.159587,"(917, 501)","(1162, 319)",None,"(836, 878, 974)"
1574736218.3567226,"(899, 637)","(1224, 413)","(957, 250)","(358, 1105, 1698)"
1574736224.3531275,"(1287, 281)","(637, 259)","(510, 356)","(6723, 362, 1187)"
1574736230.5605228,"(1058, 450)","(975, 329)","(850, 258)","(2588, 735, 1313)"
1574736236.7559197,"(1036, 440)","(972, 325)","(866, 251)","(2504, 584, 1243)"
1574736242.957801,"(1275, 238)","(754, 184)","(593, 202)","(5451, 848, 386)"
1574736248.9557061,"(1103, 273)","(867, 194)","(802, 157)","(3544, 441, 257)"
1574736255.1541126,"(961, 393)","(1001, 275)","(927, 192)","(1976, 310, 707)"
1574736261.3379264,"(1097, 368)","(862, 289)","(808, 255)","(3612, 358, 1061)"
1574736267.3541155,"(1335, 201)","(680, 165)","(469, 216)","(6542, 846, 315)"
1574736273.3543396,"(1203, 280)","(768, 222)","(679, 230)","(4892, 520, 653)"
1574736279.5598166,"(795, 506)","(1144, 362)","(1031, 210)","(486, 117, 1111)"
1574736285.7223818,"(1131, 349)","(970, 228)","(790, 175)","(2959, 1099, 552)"
1574736291.7514012,"(1086, 273)","(909, 182)","(821, 135)","(3178, 551, 139)"
1574736297.955475,"(836, 530)","(1131, 380)","(1007, 236)","(689, 274, 1321)"
1574736303.9535863,"(1106, 260)","(870, 182)","(799, 145)","(3545, 470, 158)"
1574736309.9549298,"(1301, 291)","(700, 249)","(529, 314)","(6208, 764, 1053)"
1574736316.1545587,"(1064, 359)","(968, 247)","(844, 183)","(2667, 719, 622)"
1574736322.3268325,"(1167, 325)","(879, 235)","(744, 207)","(3822, 853, 674)"
1574736328.3534312,"(973, 462)","(931, 374)",None,"(2461, 29, 1556)"
1574736334.5736587,"(1296, 294)","(622, 272)","(486, 389)","(6939, 356, 1362)"
1574736340.5551126,"(1183, 335)","(749, 285)","(698, 313)","(4977, 318, 1205)"
1574736346.726341,"(847, 429)","(1138, 283)","(994, 157)","(755, 376, 585)"
1574736352.7594454,"(981, 454)","(948, 359)",None,"(2393, 148, 1426)"
1574736358.952902,"(871, 605)","(1249, 376)","(971, 219)","(155, 1076, 1358)"
1574736364.9600804,"(1083, 363)","(917, 265)","(826, 215)","(3114, 568, 817)"
1574736371.1504884,"(1100, 508)","(1015, 357)","(821, 282)","(2499, 1165, 1620)"
1574736377.1540594,"(1158, 350)",None,"(739, 276)","(4320, 484, 1114)"
1574736383.1782503,None,"(643, 156)","(451, 214)","(6850, 626, 228)"
1574736389.359566,"(771, 555)","(1150, 414)",None,"(342, 4, 1459)"
1574736395.5588303,"(1004, 444)","(1130, 270)","(892, 169)","(1360, 1186, 683)"
1574736401.7510765,"(1334, 195)","(714, 150)","(493, 182)","(6193, 999, 152)"
1574736407.7481494,"(1299, 323)",None,"(494, 416)","(6818, 473, 1619)"
1574736413.7544374,"(1074, 459)","(944, 349)","(833, 287)","(2895, 667, 1520)"
1574736419.9213126,"(1257, 341)","(708, 295)","(595, 365)","(5845, 531, 1474)"
1574736425.9621623,"(1131, 279)","(804, 218)","(768, 202)","(4177, 274, 504)"
1574736432.1730266,"(966, 415)","(985, 312)","(924, 224)","(2093, 262, 972)"
1574736438.414863,"(867, 460)","(1143, 301)","(980, 175)","(790, 503, 772)"
1574736444.55065,"(1045, 400)","(1046, 256)","(860, 176)","(2059, 997, 665)"
1574736450.7183132,"(1113, 244)","(826, 178)","(786, 150)","(3902, 296, 147)"
1574736456.7691355,"(1051, 318)","(876, 240)","(851, 193)","(3222, 190, 574)"
1574736462.760927,"(801, 550)","(1182, 385)","(1023, 221)","(292, 336, 1287)"
1574736468.9164367,"(886, 453)","(1164, 285)","(966, 159)","(746, 724, 644)"
1574736474.959713,"(1311, 350)","(773, 277)","(556, 329)","(5629, 1190, 1349)"
1574736481.1908247,None,"(678, 191)","(545, 239)","(6186, 525, 500)"
1574736487.3574996,"(1225, 324)","(767, 264)","(655, 287)","(5084, 643, 1070)"
1574736493.6033535,"(1291, 293)","(647, 266)","(507, 363)","(6673, 456, 1266)"
1574736499.7525265,None,"(664, 166)","(516, 211)","(6382, 542, 279)"
1574736505.7545984,"(929, 375)","(1188, 194)","(933, 99)","(797, 1053, 59)"
1574736511.7507982,"(1058, 446)","(987, 320)","(852, 247)","(2504, 787, 1237)"
1574736517.9567602,"(850, 571)","(1123, 422)",None,"(761, 304, 1663)"
1574736524.1787164,"(1227, 292)","(771, 232)","(652, 249)","(5053, 671, 778)"
